,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,0.8,0.1429,0.1429,0.8,0.75,0.1429,0.75,0.8333,0.75,0.0,0.0,0.8333,0.8,0.2,0.5,0.1429,0.8,0.75,0.8333,0.2,0.8333,0.8571,0.8,0.75,0.5,0.5,0.5,0.5,0.5,0.5
11,0.2,0.8571,0.8571,0.2,0.5,0.8571,0.5,0.0,0.5,0.8333,0.8333,0.0,0.2,0.8,0.75,0.8571,0.2,0.5,0.0,0.8,0.0,0.1429,0.2,0.5,0.75,0.75,0.75,0.75,0.75,0.75
12,0.0,0.7143,0.7143,0.0,0.25,0.7143,0.25,0.1667,0.25,0.6667,0.6667,0.1667,0.0,0.6,0.5,0.7143,0.0,0.25,0.1667,0.6,0.1667,0.2857,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5
13,0.6,0.2857,0.2857,0.6,0.5,0.2857,0.5,0.6667,0.5,0.1667,0.1667,0.6667,0.6,0.0,0.25,0.2857,0.6,0.5,0.6667,0.0,0.6667,0.7143,0.6,0.5,0.25,0.25,0.25,0.25,0.25,0.25
14,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1667,0.1667,1.0,1.0,0.4,0.75,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75
16,0.0,0.7143,0.7143,0.0,0.25,0.7143,0.25,0.1667,0.25,0.6667,0.6667,0.1667,0.0,0.6,0.5,0.7143,0.0,0.25,0.1667,0.6,0.1667,0.2857,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5
17,0.2,0.5714,0.5714,0.2,0.0,0.5714,0.0,0.3333,0.0,0.5,0.5,0.3333,0.2,0.4,0.25,0.5714,0.2,0.0,0.3333,0.4,0.3333,0.4286,0.2,0.0,0.25,0.25,0.25,0.25,0.25,0.25
18,0.2,0.8571,0.8571,0.2,0.5,0.8571,0.5,0.0,0.5,0.8333,0.8333,0.0,0.2,0.8,0.75,0.8571,0.2,0.5,0.0,0.8,0.0,0.1429,0.2,0.5,0.75,0.75,0.75,0.75,0.75,0.75
19,0.6,0.2857,0.2857,0.6,0.5,0.2857,0.5,0.6667,0.5,0.1667,0.1667,0.6667,0.6,0.0,0.25,0.2857,0.6,0.5,0.6667,0.0,0.6667,0.7143,0.6,0.5,0.25,0.25,0.25,0.25,0.25,0.25
20,0.2,0.8571,0.8571,0.2,0.5,0.8571,0.5,0.0,0.5,0.8333,0.8333,0.0,0.2,0.8,0.75,0.8571,0.2,0.5,0.0,0.8,0.0,0.1429,0.2,0.5,0.75,0.75,0.75,0.75,0.75,0.75
21,0.4,1.0,1.0,0.4,0.75,1.0,0.75,0.1667,0.75,1.0,1.0,0.1667,0.4,1.0,1.0,1.0,0.4,0.75,0.1667,1.0,0.1667,0.0,0.4,0.75,1.0,1.0,1.0,1.0,1.0,1.0
22,0.0,0.7143,0.7143,0.0,0.25,0.7143,0.25,0.1667,0.25,0.6667,0.6667,0.1667,0.0,0.6,0.5,0.7143,0.0,0.25,0.1667,0.6,0.1667,0.2857,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5
23,0.2,0.5714,0.5714,0.2,0.0,0.5714,0.0,0.3333,0.0,0.5,0.5,0.3333,0.2,0.4,0.25,0.5714,0.2,0.0,0.3333,0.4,0.3333,0.4286,0.2,0.0,0.25,0.25,0.25,0.25,0.25,0.25
24,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
25,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
27,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
28,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
29,0.4,0.4286,0.4286,0.4,0.25,0.4286,0.25,0.5,0.25,0.3333,0.3333,0.5,0.4,0.2,0.0,0.4286,0.4,0.25,0.5,0.2,0.5,0.5714,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
